date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:57	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%222273f61533dc60b72c6fab8320560aae%22	https://www.codsoft.in/robots.txt		(from )
14:09:58	355588/355588	---MCZ	200	added ('OK')	text/html	etag:W/%229f1c80406bbe5045e447d2a9b5c5b4e6%22	https://www.codsoft.in/	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/index.html	(from )
14:10:00	1287/1287	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Jun%202023%2010:50:21%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/Aq20eV79zLfpXV6b/1685789339697-YrDL60zzRBfzM6Wr.jpg	C:/My%20Web%20Sites/Codsoft/assets.zyrosite.com/cdn-cgi/image/format=auto,w=48,h=48,fit=crop,f=png/Aq20eV79zLfpXV6b/1685789339697-YrDL60zzRBfzM6Wr.jpg	(from https://www.codsoft.in/)
14:10:01	196143/196143	---MCZ	200	added ('OK')	text/css	etag:W/%226992a109781f8798495268857fa325b6%22	https://www.codsoft.in/_astro-1702469021177/_slug_.d629c78c.css	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_astro-1702469021177/_slug_.d629c78c.css	(from https://www.codsoft.in/)
14:10:06	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/t	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/t	(from https://www.codsoft.in/)
14:10:07	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22/terms-and-conditions/%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/terms-and-conditions/_	(from https://www.codsoft.in/)
14:10:09	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22/refund-policy/%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/refund-policy/_	(from https://www.codsoft.in/)
14:10:10	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22//%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/_	(from https://www.codsoft.in/)
14:10:11	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22/privacy-policy/%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/privacy-policy/_	(from https://www.codsoft.in/)
14:10:12	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22/internships/%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/internships/_	(from https://www.codsoft.in/)
14:10:13	82657/82657	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22649d990f-142e1%22	https://www.codsoft.in/%22/services/%22	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/_/services/_	(from https://www.codsoft.in/)
14:10:17	14781/14781	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jun%202023%2019:18:52%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=608,fit=crop,q=95/Aq20eV79zLfpXV6b/logo-png-mnl7npnlXjHPl9KV.png	C:/My%20Web%20Sites/Codsoft/assets.zyrosite.com/cdn-cgi/image/format=auto,w=608,fit=crop,q=95/Aq20eV79zLfpXV6b/logo-png-mnl7npnlXjHPl9KV.png	(from https://www.codsoft.in/)
14:10:17	203634/203634	---MCZ	200	added ('OK')	text/html	etag:W/%22e4a1372d05f5f5b032f87b5b2a880155%22	https://www.codsoft.in/services	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/services.html	(from https://www.codsoft.in/)
14:10:20	252863/252863	---MCZ	200	added ('OK')	text/html	etag:W/%224d5b0f0740a5b4a7e8f86b282135a80b%22	https://www.codsoft.in/web-development	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/web-development.html	(from https://www.codsoft.in/)
14:10:21	203821/203821	---MCZ	200	added ('OK')	text/html	etag:W/%22abf027c2fe301fc80524084724dcad62%22	https://www.codsoft.in/products	C:/My%20Web%20Sites/Codsoft/www.codsoft.in/products.html	(from https://www.codsoft.in/)
